{1,2}	skip moves:[[1 1] [2 2]]; speedup:22.5=>18
{1,4,5,11,12}	skip moves:[[2 2] [4 4] [1 3] [5 5] [2 3] [4 5]]; speedup:45.86=>44.24
{2,4,5,11,12}	skip moves:[[5 5] [2 3] [1 4] [4 5]]; speedup:44.14=>43.84
{1,2,4,5,11,12}	skip moves:[[2 5] [4 4] [1 3] [5 5] [2 3] [4 5]]; speedup:45.06=>44.62
{3,4,5,11,12}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:43.63=>43.58
{1,3,4,5,11,12}	skip moves:[[3 4] [2 2] [4 4] [3 5] [5 5] [2 3] [4 5]]; speedup:44.56=>44.39
{2,3,4,5,11,12}	skip moves:[[1 3] [4 4] [5 5] [1 4] [4 5]]; speedup:44.19=>44.08
{1,2,3,4,5,11,12}	skip moves:[[2 5] [4 4] [5 5] [3 4] [3 5] [4 5]]; speedup:45.06=>44.76
{1,6,11,12}	skip moves:[[1 5] [2 4] [3 3]]; speedup:50.08=>44.31
{2,6,11,12}	skip moves:[[1 5] [2 4] [3 3]]; speedup:44.66=>43.57
{1,2,6,11,12}	skip moves:[[3 3] [2 4] [1 5] [1 6] [2 6]]; speedup:47.2=>45.39
{3,6,11,12}	skip moves:[[1 5] [2 4]]; speedup:43.4=>43.21
{1,3,6,11,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:46.11=>44.49
{2,3,6,11,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:44.41=>44.03
{1,2,3,6,11,12}	skip moves:[[2 6] [3 3] [3 6] [1 5] [2 4]]; speedup:45.3=>44.8
{1,4,6,11,12}	skip moves:[[1 3] [2 2] [4 4] [3 3] [2 4] [1 5] [4 6]]; speedup:45.66=>44.12
{2,4,6,11,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:44.07=>43.72
{1,2,4,6,11,12}	skip moves:[[2 6] [4 4] [1 3] [3 3] [1 5] [4 6]]; speedup:44.98=>44.52
{3,4,6,11,12}	skip moves:[[2 4] [1 5] [4 6]]; speedup:43.54=>43.45
{1,3,4,6,11,12}	skip moves:[[3 4] [2 2] [4 4] [3 6] [2 4] [1 5] [4 6]]; speedup:44.49=>44.28
{2,3,4,6,11,12}	skip moves:[[4 4] [1 3] [3 6] [1 5] [4 6]]; speedup:44.08=>43.97
{1,2,3,4,6,11,12}	skip moves:[[4 4] [2 6] [1 5] [3 4] [3 6] [4 6]]; speedup:44.97=>44.63
{1,5,6,11,12}	skip moves:[[2 3] [5 5] [1 4] [3 3] [2 4]]; speedup:44.11=>43.86
{2,5,6,11,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [1 5]]; speedup:43.6=>43.55
{1,2,5,6,11,12}	skip moves:[[2 6] [2 3] [5 5] [1 4] [3 3] [2 4]]; speedup:44.74=>44.35
{3,5,6,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.32=>43.3
{1,3,5,6,11,12}	skip moves:[[3 5] [3 6] [5 5] [2 3] [1 4] [2 4]]; speedup:44.25=>44.07
{2,3,5,6,11,12}	skip moves:[[5 5] [1 4] [2 4] [1 5]]; speedup:43.89=>43.8
{1,2,3,5,6,11,12}	skip moves:[[2 5] [2 6] [5 5] [1 4] [2 4] [3 5] [3 6]]; speedup:44.68=>44.46
{1,4,5,6,11,12}	skip moves:[[5 5] [2 3] [3 3] [2 4] [4 5] [4 6]]; speedup:44.04=>43.89
{2,4,5,6,11,12}	skip moves:[[4 6] [2 3] [5 5] [1 4] [3 3] [1 5]]; speedup:43.7=>43.66
{1,2,4,5,6,11,12}	skip moves:[[4 4] [1 3] [2 3] [5 5] [3 3] [4 5] [4 6]]; speedup:44.46=>44.24
{3,4,5,6,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.47=>43.46
{1,3,4,5,6,11,12}	skip moves:[[2 2] [4 4] [3 5] [3 6] [2 3] [5 5] [2 4] [4 5] [4 6]]; speedup:44.18=>44.06
{2,3,4,5,6,11,12}	skip moves:[[5 5] [1 4] [4 5] [1 5] [4 6]]; speedup:43.92=>43.87
{1,2,3,4,5,6,11,12}	skip moves:[[3 4] [2 6] [4 4] [3 5] [3 6] [5 5] [4 5] [4 6]]; speedup:44.43=>44.33
{1,2,7,11,12}	skip moves:[[1 1] [2 2]]; speedup:47.21=>46.38
{1,3,7,11,12}	skip moves:[[3 3] [1 2]]; speedup:47.67=>45.3
{2,3,7,11,12}	skip moves:[[3 3] [1 2]]; speedup:45.14=>44.86
{1,2,3,7,11,12}	skip moves:[[2 3]]; speedup:47.86=>46.71
{1,4,7,11,12}	skip moves:[[2 2] [4 4] [1 3]]; speedup:47.92=>44.86
{2,4,7,11,12}	skip moves:[[4 4] [1 3]]; speedup:44.64=>44.24
{1,2,4,7,11,12}	skip moves:[[4 4] [1 4] [1 3] [2 4]]; speedup:47.29=>46.13
{3,4,7,11,12}	skip moves:[[2 2] [4 4] [1 3]]; speedup:43.99=>43.98
{1,3,4,7,11,12}	skip moves:[[4 4] [2 2]]; speedup:45.1=>45.07
{2,3,4,7,11,12}	skip moves:[[1 3] [4 4]]; speedup:44.71=>44.68
{1,2,3,4,7,11,12}	skip moves:[[3 3] [4 4]]; speedup:45.45=>45.35
{1,5,7,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:48.3=>44.63
{2,5,7,11,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:44.76=>44.02
{1,2,5,7,11,12}	skip moves:[[2 3] [5 5] [1 5] [1 4]]; speedup:45.97=>45.75
{3,5,7,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:43.7=>43.59
{1,3,5,7,11,12}	skip moves:[[5 5] [2 3] [1 4] [3 5]]; speedup:45.93=>44.8
{2,3,5,7,11,12}	skip moves:[[5 5] [1 4] [3 5]]; speedup:44.68=>44.43
{1,2,3,5,7,11,12}	skip moves:[[3 3] [3 5] [5 5] [1 4]]; speedup:45.44=>45.12
{1,4,5,7,11,12}	skip moves:[[2 2] [4 4] [1 3] [2 3] [5 5] [4 5]]; speedup:45.62=>44.42
{2,4,5,7,11,12}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:44.33=>44.1
{1,2,4,5,7,11,12}	skip moves:[[4 4] [1 3] [5 5] [2 3] [4 5]]; speedup:45.18=>44.82
{3,4,5,7,11,12}	skip moves:[[5 5] [2 3] [1 4] [4 5]]; speedup:43.87=>43.82
{1,3,4,5,7,11,12}	skip moves:[[4 4] [2 2] [3 5] [5 5] [2 3] [4 5]]; speedup:44.72=>44.58
{2,3,4,5,7,11,12}	skip moves:[[4 4] [1 3] [5 5] [1 4] [4 5]]; speedup:44.44=>44.36
{1,2,3,4,5,7,11,12}	skip moves:[[4 4] [5 5] [3 5] [4 5]]; speedup:45.16=>44.94
{1,6,7,11,12}	skip moves:[[2 4] [3 3] [1 5]]; speedup:48.78=>44.61
{2,6,7,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:44.51=>43.79
{1,2,6,7,11,12}	skip moves:[[3 3] [2 4] [1 5] [2 6]]; speedup:46.92=>45.56
{3,6,7,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.57=>43.44
{1,3,6,7,11,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:46.03=>44.74
{2,3,6,7,11,12}	skip moves:[[1 5] [2 4] [3 6]]; speedup:44.51=>44.22
{1,2,3,6,7,11,12}	skip moves:[[2 6] [3 3] [3 6] [2 4] [1 5]]; speedup:45.43=>45.02
{4,6,7,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:43.2=>43.2
{1,4,6,7,11,12}	skip moves:[[2 2] [4 4] [1 3] [3 3] [2 4] [1 5] [4 6]]; speedup:45.63=>44.37
{2,4,6,7,11,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:44.18=>43.92
{1,2,4,6,7,11,12}	skip moves:[[2 6] [4 4] [1 3] [3 3] [1 5] [4 6]]; speedup:45.12=>44.74
{3,4,6,7,11,12}	skip moves:[[2 4] [1 5] [4 6]]; speedup:43.78=>43.7
{1,3,4,6,7,11,12}	skip moves:[[4 4] [2 2] [3 6] [2 4] [1 5] [4 6]]; speedup:44.7=>44.52
{2,3,4,6,7,11,12}	skip moves:[[4 4] [1 3] [3 6] [1 5] [4 6]]; speedup:44.28=>44.2
{1,2,3,4,6,7,11,12}	skip moves:[[4 4] [2 6] [1 5] [3 6] [4 6]]; speedup:45.1=>44.84
{1,5,6,7,11,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4]]; speedup:44.32=>44.12
{2,5,6,7,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:43.85=>43.8
{1,2,5,6,7,11,12}	skip moves:[[2 6] [1 4] [5 5] [2 3] [2 4] [3 3]]; speedup:44.93=>44.6
{3,5,6,7,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.53=>43.52
{1,3,5,6,7,11,12}	skip moves:[[3 5] [3 6] [5 5] [2 3] [1 4] [2 4]]; speedup:44.46=>44.3
{2,3,5,6,7,11,12}	skip moves:[[5 5] [1 4] [2 4] [1 5]]; speedup:44.11=>44.03
{1,2,3,5,6,7,11,12}	skip moves:[[2 6] [1 4] [5 5] [2 4] [3 5] [3 6]]; speedup:44.87=>44.68
{1,4,5,6,7,11,12}	skip moves:[[2 3] [5 5] [3 3] [2 4] [4 5] [4 6]]; speedup:44.25=>44.13
{2,4,5,6,7,11,12}	skip moves:[[2 3] [5 5] [1 4] [4 6] [3 3] [1 5]]; speedup:43.93=>43.9
{1,2,4,5,6,7,11,12}	skip moves:[[4 4] [1 3] [2 3] [5 5] [3 3] [4 5] [4 6]]; speedup:44.67=>44.48
{3,4,5,6,7,11,12}	skip moves:[[5 5] [2 3] [1 4] [2 4] [1 5]]; speedup:43.71=>43.69
{1,3,4,5,6,7,11,12}	skip moves:[[3 5] [3 6] [5 5] [2 3] [2 4] [4 5] [4 6]]; speedup:44.41=>44.31
{2,3,4,5,6,7,11,12}	skip moves:[[5 5] [1 4] [4 5] [1 5] [4 6]]; speedup:44.16=>44.12
{1,2,3,4,5,6,7,11,12}	skip moves:[[2 6] [4 4] [3 5] [3 6] [5 5] [4 5] [4 6]]; speedup:44.66=>44.56
{1,2,8,11,12}	skip moves:[[1 1] [2 2]]; speedup:47.4=>46.51
{1,3,8,11,12}	skip moves:[[3 3] [1 2]]; speedup:47.96=>45.44
{2,3,8,11,12}	skip moves:[[3 3] [1 2]]; speedup:45.3=>45
{1,2,3,8,11,12}	skip moves:[[2 3]]; speedup:48.04=>46.82
{1,4,8,11,12}	skip moves:[[2 2] [1 3]]; speedup:47.62=>45.01
{2,4,8,11,12}	skip moves:[[1 3]]; speedup:44.71=>44.41
{1,2,4,8,11,12}	skip moves:[[1 3] [1 4] [2 4]]; speedup:47.55=>46.28
{3,4,8,11,12}	skip moves:[[2 2] [1 3]]; speedup:44.11=>44.1
{1,3,4,8,11,12}	skip moves:[[2 2] [3 4]]; speedup:46.49=>45.22
{2,3,4,8,11,12}	skip moves:[[1 3] [3 4]]; speedup:45.01=>44.83
{1,2,3,4,8,11,12}	skip moves:[[3 3] [3 4]]; speedup:45.61=>45.48
{1,5,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:48.65=>44.77
{2,5,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:44.8=>44.08
{1,2,5,8,11,12}	skip moves:[[2 3] [5 5] [1 4] [1 5] [2 5]]; speedup:47.16=>45.86
{3,5,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:43.98=>43.89
{1,3,5,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:45.06=>44.95
{2,3,5,8,11,12}	skip moves:[[5 5] [1 4]]; speedup:44.6=>44.53
{1,2,3,5,8,11,12}	skip moves:[[2 5] [3 3] [5 5] [1 4]]; speedup:45.49=>45.26
{1,4,5,8,11,12}	skip moves:[[1 3] [2 2] [2 3] [5 5] [4 5]]; speedup:45.88=>44.59
{2,4,5,8,11,12}	skip moves:[[5 5] [2 3] [1 4] [4 5]]; speedup:44.46=>44.22
{1,2,4,5,8,11,12}	skip moves:[[2 5] [1 3] [5 5] [2 3] [4 5]]; speedup:45.28=>44.94
{3,4,5,8,11,12}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:44.1=>44.09
{1,3,4,5,8,11,12}	skip moves:[[3 4] [2 2] [5 5] [2 3] [4 5]]; speedup:44.87=>44.76
{2,3,4,5,8,11,12}	skip moves:[[1 3] [5 5] [1 4] [4 5]]; speedup:44.55=>44.47
{1,2,3,4,5,8,11,12}	skip moves:[[2 5] [5 5] [3 4] [4 5]]; speedup:45.27=>45.08
{1,6,8,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:48.58=>44.66
{2,6,8,11,12}	skip moves:[[2 4] [3 3] [1 5]]; speedup:44.91=>44.11
{1,2,6,8,11,12}	skip moves:[[3 3] [2 4] [1 5] [1 6]]; speedup:46=>45.69
{3,6,8,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.74=>43.6
{1,3,6,8,11,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:46.05=>44.81
{2,3,6,8,11,12}	skip moves:[[1 5] [2 4] [3 6]]; speedup:44.75=>44.46
{1,2,3,6,8,11,12}	skip moves:[[3 3] [3 6] [2 4] [1 5]]; speedup:45.54=>45.14
{4,6,8,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:43.43=>43.43
{1,4,6,8,11,12}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [4 6]]; speedup:45.72=>44.48
{2,4,6,8,11,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:44.5=>44.24
{1,2,4,6,8,11,12}	skip moves:[[1 3] [3 3] [1 5] [4 6]]; speedup:45.24=>44.88
{3,4,6,8,11,12}	skip moves:[[1 5] [2 4] [4 6]]; speedup:43.93=>43.86
{1,3,4,6,8,11,12}	skip moves:[[3 4] [2 2] [3 6] [2 4] [1 5] [4 6]]; speedup:44.79=>44.61
{2,3,4,6,8,11,12}	skip moves:[[3 6] [1 3] [1 5] [4 6]]; speedup:44.49=>44.41
{1,2,3,4,6,8,11,12}	skip moves:[[1 5] [3 4] [3 6] [4 6]]; speedup:45.26=>44.97
{1,5,6,8,11,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4]]; speedup:44.39=>44.2
{2,5,6,8,11,12}	skip moves:[[3 3] [2 4] [1 5] [5 5] [2 3] [1 4]]; speedup:44.05=>44.02
{1,2,5,6,8,11,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4]]; speedup:45.02=>44.7
{3,5,6,8,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.76=>43.74
{1,3,5,6,8,11,12}	skip moves:[[3 6] [5 5] [2 3] [1 4] [2 4]]; speedup:44.55=>44.41
{2,3,5,6,8,11,12}	skip moves:[[5 5] [1 4] [1 5] [2 4]]; speedup:44.32=>44.25
{1,2,3,5,6,8,11,12}	skip moves:[[2 5] [5 5] [1 4] [2 4] [3 6]]; speedup:44.93=>44.79
{1,4,5,6,8,11,12}	skip moves:[[2 3] [5 5] [2 4] [3 3] [4 5] [4 6]]; speedup:44.37=>44.24
{2,4,5,6,8,11,12}	skip moves:[[1 5] [3 3] [2 3] [5 5] [1 4]]; speedup:44.16=>44.13
{1,2,4,5,6,8,11,12}	skip moves:[[1 3] [2 3] [5 5] [3 3] [4 5] [4 6]]; speedup:44.79=>44.6
{3,4,5,6,8,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.93=>43.91
{1,3,4,5,6,8,11,12}	skip moves:[[3 6] [5 5] [2 3] [2 4] [4 5] [4 6]]; speedup:44.52=>44.42
{2,3,4,5,6,8,11,12}	skip moves:[[5 5] [1 4] [4 5] [1 5] [4 6]]; speedup:44.35=>44.31
{1,2,3,4,5,6,8,11,12}	skip moves:[[3 4] [3 6] [5 5] [4 5] [4 6]]; speedup:44.77=>44.69
{1,2,7,8,11,12}	skip moves:[[1 1] [2 2]]; speedup:47.26=>46.67
{1,3,7,8,11,12}	skip moves:[[3 3] [1 2]]; speedup:47.36=>45.6
{2,3,7,8,11,12}	skip moves:[[3 3] [1 2]]; speedup:45.38=>45.17
{1,2,3,7,8,11,12}	skip moves:[[2 3]]; speedup:47.85=>46.95
{1,4,7,8,11,12}	skip moves:[[2 2] [1 3]]; speedup:47=>45.18
{2,4,7,8,11,12}	skip moves:[[1 3]]; speedup:44.8=>44.59
{1,2,4,7,8,11,12}	skip moves:[[1 4] [1 3] [2 4]]; speedup:47.36=>46.41
{3,4,7,8,11,12}	skip moves:[[2 2] [1 3]]; speedup:44.35=>44.34
{1,3,4,7,8,11,12}	skip moves:[[2 2]]; speedup:45.38=>45.37
{2,3,4,7,8,11,12}	skip moves:[[1 3]]; speedup:45.01=>45
{1,2,3,4,7,8,11,12}	skip moves:[[3 3]]; speedup:45.67=>45.64
{1,5,7,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:47.75=>44.94
{2,5,7,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:44.9=>44.35
{1,2,5,7,8,11,12}	skip moves:[[2 3] [5 5] [1 5] [1 4]]; speedup:46.19=>46
{3,5,7,8,11,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:44.14=>44.07
{1,3,5,7,8,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:45.19=>45.1
{2,3,5,7,8,11,12}	skip moves:[[5 5] [1 4]]; speedup:44.8=>44.75
{1,2,3,5,7,8,11,12}	skip moves:[[3 3] [5 5] [1 4]]; speedup:45.6=>45.42
{1,4,5,7,8,11,12}	skip moves:[[1 3] [2 2] [2 3] [5 5] [4 5]]; speedup:45.75=>44.75
{2,4,5,7,8,11,12}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:44.64=>44.45
{1,2,4,5,7,8,11,12}	skip moves:[[1 3] [5 5] [2 3] [4 5]]; speedup:45.4=>45.11
{3,4,5,7,8,11,12}	skip moves:[[5 5] [2 3] [1 4] [4 5]]; speedup:44.31=>44.29
{1,3,4,5,7,8,11,12}	skip moves:[[2 2] [5 5] [2 3] [4 5]]; speedup:45.02=>44.92
{2,3,4,5,7,8,11,12}	skip moves:[[1 3] [1 4] [5 5] [4 5]]; speedup:44.78=>44.72
{1,2,3,4,5,7,8,11,12}	skip moves:[[5 5] [4 5]]; speedup:45.36=>45.24
{1,6,7,8,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:48.02=>44.92
{2,6,7,8,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:44.86=>44.29
{1,2,6,7,8,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:46.02=>45.84
{3,6,7,8,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.9=>43.8
{1,3,6,7,8,11,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:46.06=>45.03
{2,3,6,7,8,11,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:44.85=>44.62
{1,2,3,6,7,8,11,12}	skip moves:[[3 3] [3 6] [2 4] [1 5]]; speedup:45.66=>45.33
{4,6,7,8,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:43.64=>43.63
{1,4,6,7,8,11,12}	skip moves:[[2 2] [1 3] [2 4] [3 3] [1 5] [4 6]]; speedup:45.74=>44.69
{2,4,6,7,8,11,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:44.61=>44.4
{1,2,4,6,7,8,11,12}	skip moves:[[1 3] [3 3] [1 5] [4 6]]; speedup:45.38=>45.08
{3,4,6,7,8,11,12}	skip moves:[[2 4] [1 5] [4 6]]; speedup:44.14=>44.08
{1,3,4,6,7,8,11,12}	skip moves:[[2 2] [3 6] [2 4] [1 5] [4 6]]; speedup:44.98=>44.83
{2,3,4,6,7,8,11,12}	skip moves:[[1 3] [1 5] [4 6]]; speedup:44.66=>44.6
{1,2,3,4,6,7,8,11,12}	skip moves:[[1 5] [3 6] [4 6]]; speedup:45.37=>45.16
{1,5,6,7,8,11,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4]]; speedup:44.58=>44.42
{2,5,6,7,8,11,12}	skip moves:[[2 3] [1 4] [5 5] [2 4] [1 5] [3 3]]; speedup:44.27=>44.24
{1,2,5,6,7,8,11,12}	skip moves:[[1 4] [5 5] [2 3] [2 4] [3 3]]; speedup:45.21=>44.93
{3,5,6,7,8,11,12}	skip moves:[[2 4] [1 5]]; speedup:43.94=>43.92
{1,3,5,6,7,8,11,12}	skip moves:[[3 6] [5 5] [2 3] [1 4] [2 4]]; speedup:44.73=>44.61
{2,3,5,6,7,8,11,12}	skip moves:[[5 5] [1 4] [1 5] [2 4]]; speedup:44.52=>44.46
{1,2,3,5,6,7,8,11,12}	skip moves:[[5 5] [1 4] [2 4] [3 6]]; speedup:45.11=>44.99
{1,4,5,6,7,8,11,12}	skip moves:[[5 5] [2 3] [3 3] [2 4] [4 5] [4 6]]; speedup:44.56=>44.45
{2,4,5,6,7,8,11,12}	skip moves:[[4 6] [2 3] [5 5] [1 4] [1 5] [3 3]]; speedup:44.36=>44.34
{1,2,4,5,6,7,8,11,12}	skip moves:[[1 3] [5 5] [2 3] [3 3] [4 5] [4 6]]; speedup:44.99=>44.82
{3,4,5,6,7,8,11,12}	skip moves:[[2 4] [1 5]]; speedup:44.13=>44.11
{1,3,4,5,6,7,8,11,12}	skip moves:[[3 6] [2 3] [5 5] [2 4] [4 5] [4 6]]; speedup:44.73=>44.64
{2,3,4,5,6,7,8,11,12}	skip moves:[[5 5] [1 4] [4 5] [1 5] [4 6]]; speedup:44.57=>44.53
{1,2,3,4,5,6,7,8,11,12}	skip moves:[[3 6] [5 5] [4 5] [4 6]]; speedup:44.97=>44.9
{1,2,9,11,12}	skip moves:[[1 1] [2 2]]; speedup:47.75=>46.79
{1,3,9,11,12}	skip moves:[[3 3] [1 2]]; speedup:48.41=>45.72
{2,3,9,11,12}	skip moves:[[3 3] [1 2]]; speedup:45.61=>45.29
{1,2,3,9,11,12}	skip moves:[[2 3]]; speedup:48.36=>47.07
{1,4,9,11,12}	skip moves:[[4 4] [2 2] [1 3]]; speedup:48.74=>45.29
{2,4,9,11,12}	skip moves:[[4 4] [1 3]]; speedup:45.14=>44.69
{1,2,4,9,11,12}	skip moves:[[4 4] [1 4] [1 3] [2 4]]; speedup:47.79=>46.5
{3,4,9,11,12}	skip moves:[[4 4] [2 2] [1 3]]; speedup:44.41=>44.38
{1,3,4,9,11,12}	skip moves:[[4 4] [2 2] [3 4]]; speedup:46.75=>45.47
{2,3,4,9,11,12}	skip moves:[[4 4] [1 3] [3 4]]; speedup:45.28=>45.09
{1,2,3,4,9,11,12}	skip moves:[[3 3] [3 4] [4 4]]; speedup:45.92=>45.74
{1,5,9,11,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:49.17=>45.06
{2,5,9,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:45.14=>44.39
{1,2,5,9,11,12}	skip moves:[[5 5] [2 3] [1 5] [1 4] [2 5]]; speedup:47.48=>46.12
{3,5,9,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:44.19=>44.07
{1,3,5,9,11,12}	skip moves:[[1 4] [5 5] [2 3] [3 5]]; speedup:46.44=>45.22
{2,3,5,9,11,12}	skip moves:[[5 5] [1 4] [3 5]]; speedup:45.06=>44.8
{1,2,3,5,9,11,12}	skip moves:[[2 5] [3 3] [3 5] [5 5] [1 4]]; speedup:45.84=>45.5
{1,4,5,9,11,12}	skip moves:[[4 4] [2 2] [1 3] [5 5] [2 3]]; speedup:44.97=>44.87
{2,4,5,9,11,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:44.56=>44.51
{1,2,4,5,9,11,12}	skip moves:[[2 5] [4 4] [1 3] [5 5] [2 3]]; speedup:45.5=>45.23
{3,4,5,9,11,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:44.3=>44.28
{1,3,4,5,9,11,12}	skip moves:[[3 4] [2 2] [4 4] [3 5] [5 5] [2 3]]; speedup:45.11=>45.02
{2,3,4,5,9,11,12}	skip moves:[[4 4] [1 3] [5 5] [1 4]]; speedup:44.78=>44.73
{1,2,3,4,5,9,11,12}	skip moves:[[2 5] [4 4] [5 5] [3 4] [3 5]]; speedup:45.49=>45.33
{1,6,9,11,12}	skip moves:[[2 4] [3 3] [1 5]]; speedup:49.1=>44.96
{2,6,9,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:45.05=>44.26
{1,2,6,9,11,12}	skip moves:[[3 3] [2 4] [1 6] [1 5] [2 6]]; speedup:47.38=>45.93
{3,6,9,11,12}	skip moves:[[2 4] [1 5]]; speedup:44.3=>44.22
{1,3,6,9,11,12}	skip moves:[[2 4] [1 5]]; speedup:45.25=>45.12
{2,3,6,9,11,12}	skip moves:[[2 4] [1 5]]; speedup:44.83=>44.71
{1,2,3,6,9,11,12}	skip moves:[[2 6] [3 3] [2 4] [1 5]]; speedup:45.75=>45.43
{4,6,9,11,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:43.7=>43.7
{1,4,6,9,11,12}	skip moves:[[2 2] [4 4] [1 3] [3 3] [2 4] [1 5] [4 6]]; speedup:46=>44.74
{2,4,6,9,11,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:44.65=>44.37
{1,2,4,6,9,11,12}	skip moves:[[2 6] [4 4] [1 3] [3 3] [1 5] [4 6]]; speedup:45.49=>45.11
{3,4,6,9,11,12}	skip moves:[[2 4] [1 5] [4 6]]; speedup:44.34=>44.31
{1,3,4,6,9,11,12}	skip moves:[[3 4] [4 4] [2 2] [2 4] [1 5] [4 6]]; speedup:45.09=>44.94
{2,3,4,6,9,11,12}	skip moves:[[4 4] [1 3] [1 5] [4 6]]; speedup:44.74=>44.66
{1,2,3,4,6,9,11,12}	skip moves:[[4 4] [2 6] [1 5] [3 4] [4 6]]; speedup:45.45=>45.23
{1,5,6,9,11,12}	skip moves:[[5 5] [2 3] [1 4] [2 4] [3 3]]; speedup:44.7=>44.5
{2,5,6,9,11,12}	skip moves:[[5 5] [2 3] [1 4] [2 4] [3 3] [1 5]]; speedup:44.26=>44.22
{1,2,5,6,9,11,12}	skip moves:[[2 5] [2 6] [5 5] [2 3] [1 4] [3 3] [2 4]]; speedup:45.27=>44.95
{3,5,6,9,11,12}	skip moves:[[5 5] [2 3] [1 4]]; speedup:44.18=>44.17
{1,3,5,6,9,11,12}	skip moves:[[3 5] [5 5] [2 3] [1 4] [2 4]]; speedup:44.87=>44.74
{2,3,5,6,9,11,12}	skip moves:[[5 5] [1 4] [2 4] [1 5]]; speedup:44.57=>44.51
{1,2,3,5,6,9,11,12}	skip moves:[[2 5] [2 6] [5 5] [1 4] [2 4] [3 5]]; speedup:45.2=>45.06
{1,4,5,6,9,11,12}	skip moves:[[2 3] [5 5] [2 4] [3 3] [4 6]]; speedup:44.64=>44.54
{2,4,5,6,9,11,12}	skip moves:[[1 4] [2 3] [5 5] [4 6] [1 5] [3 3]]; speedup:44.38=>44.36
{1,2,4,5,6,9,11,12}	skip moves:[[2 6] [4 4] [1 3] [2 3] [5 5] [3 3] [4 6]]; speedup:44.97=>44.85
{3,4,5,6,9,11,12}	skip moves:[[2 4] [1 5] [5 5] [2 3] [1 4]]; speedup:44.28=>44.27
{1,3,4,5,6,9,11,12}	skip moves:[[4 4] [2 2] [3 5] [2 3] [5 5] [2 4] [4 6]]; speedup:44.8=>44.73
{2,3,4,5,6,9,11,12}	skip moves:[[1 4] [5 5] [1 5] [4 6]]; speedup:44.6=>44.56
